origin,destination,count
AL,AT,276
AL,BA,106
AL,BE,427
AL,BG,188
AL,BY,104
AL,CH,203
AL,CY,149
AL,CZ,151
AL,DE,721
AL,DK,255
AL,EE,136
AL,EL,381
AL,ES,884
AL,FI,252
AL,FR,481
AL,HR,149
AL,HU,148
AL,IE,214
AL,IL,116
AL,IS,106
AL,IT,661
AL,LT,117
AL,LU,115
AL,LV,119
AL,ME,105
AL,MK,112
AL,NL,387
AL,NO,198
AL,PL,193
AL,PT,283
AL,RO,175
AL,RS,139
AL,RU,113
AL,SE,244
AL,SI,225
AL,SK,118
AL,TR,153
AL,UA,109
AL,UK,434
AT,BA,278
AT,BE,599
AT,BG,359
AT,BY,275
AT,CH,374
AT,CY,320
AT,CZ,323
AT,DE,892
AT,DK,426
AT,EE,307
AT,EL,553
AT,ES,1055
AT,FI,424
AT,FR,653
AT,HR,320
AT,HU,319
AT,IE,385
AT,IL,287
AT,IS,278
AT,IT,833
AT,LT,289
AT,LU,286
AT,LV,291
AT,ME,276
AT,MK,283
AT,NL,558
AT,NO,370
AT,PL,364
AT,PT,455
AT,RO,347
AT,RS,310
AT,RU,284
AT,SE,415
AT,SI,396
AT,SK,290
AT,TR,325
AT,UA,281
AT,UK,605
BA,BE,429
BA,BG,190
BA,BY,106
BA,CH,205
BA,CY,150
BA,CZ,153
BA,DE,723
BA,DK,257
BA,EE,138
BA,EL,383
BA,ES,886
BA,FI,254
BA,FR,483
BA,HR,150
BA,HU,150
BA,IE,216
BA,IL,117
BA,IS,108
BA,IT,663
BA,LT,119
BA,LU,117
BA,LV,121
BA,ME,106
BA,MK,114
BA,NL,389
BA,NO,200
BA,PL,194
BA,PT,285
BA,RO,177
BA,RS,140
BA,RU,115
BA,SE,246
BA,SI,227
BA,SK,120
BA,TR,155
BA,UA,111
BA,UK,436
BE,BG,511
BE,BY,426
BE,CH,525
BE,CY,471
BE,CZ,474
BE,DE,1043
BE,DK,578
BE,EE,458
BE,EL,704
BE,ES,1207
BE,FI,575
BE,FR,804
BE,HR,471
BE,HU,470
BE,IE,536
BE,IL,438
BE,IS,429
BE,IT,984
BE,LT,440
BE,LU,437
BE,LV,442
BE,ME,427
BE,MK,435
BE,NL,710
BE,NO,521
BE,PL,515
BE,PT,606
BE,RO,498
BE,RS,461
BE,RU,436
BE,SE,567
BE,SI,547
BE,SK,441
BE,TR,476
BE,UA,432
BE,UK,756
BG,BY,187
BG,CH,286
BG,CY,232
BG,CZ,235
BG,DE,804
BG,DK,338
BG,EE,219
BG,EL,465
BG,ES,967
BG,FI,336
BG,FR,565
BG,HR,232
BG,HU,231
BG,IE,297
BG,IL,199
BG,IS,190
BG,IT,745
BG,LT,201
BG,LU,198
BG,LV,203
BG,ME,188
BG,MK,195
BG,NL,470
BG,NO,282
BG,PL,276
BG,PT,367
BG,RO,259
BG,RS,222
BG,RU,196
BG,SE,327
BG,SI,308
BG,SK,202
BG,TR,237
BG,UA,193
BG,UK,517
BY,CH,202
BY,CY,148
BY,CZ,150
BY,DE,720
BY,DK,254
BY,EE,135
BY,EL,381
BY,ES,883
BY,FI,251
BY,FR,480
BY,HR,148
BY,HU,147
BY,IE,213
BY,IL,115
BY,IS,106
BY,IT,660
BY,LT,117
BY,LU,114
BY,LV,118
BY,ME,104
BY,MK,111
BY,NL,386
BY,NO,197
BY,PL,192
BY,PT,282
BY,RO,174
BY,RS,138
BY,RU,112
BY,SE,243
BY,SI,224
BY,SK,117
BY,TR,152
BY,UA,108
BY,UK,433
CH,CY,247
CH,CZ,249
CH,DE,819
CH,DK,353
CH,EE,234
CH,EL,480
CH,ES,982
CH,FI,350
CH,FR,580
CH,HR,247
CH,HU,246
CH,IE,312
CH,IL,214
CH,IS,205
CH,IT,759
CH,LT,216
CH,LU,213
CH,LV,217
CH,ME,203
CH,MK,210
CH,NL,485
CH,NO,296
CH,PL,291
CH,PT,381
CH,RO,273
CH,RS,237
CH,RU,211
CH,SE,342
CH,SI,323
CH,SK,216
CH,TR,251
CH,UA,207
CH,UK,532
CY,CZ,195
CY,DE,765
CY,DK,299
CY,EE,180
CY,EL,425
CY,ES,928
CY,FI,296
