origin,destination,count
AL,AT,193
AL,BA,8
AL,BE,358
AL,BG,97
AL,BY,5
AL,CH,113
AL,CY,54
AL,CZ,57
AL,DE,678
AL,DK,170
AL,EE,40
AL,EL,308
AL,ES,856
AL,FI,167
AL,FR,417
AL,HR,54
AL,HU,53
AL,IE,125
AL,IL,18
AL,IN,6
AL,IS,8
AL,IT,613
AL,LT,20
AL,LU,17
AL,LV,22
AL,MA,4
AL,MC,4
AL,ME,6
AL,MK,14
AL,MT,9
AL,NL,314
AL,NO,108
AL,PL,102
AL,PT,201
AL,RO,83
AL,RS,43
AL,RU,15
AL,SE,158
AL,SI,137
AL,SK,21
AL,TR,59
AL,UA,11
AL,UK,365
AL,US,4
AT,BA,195
AT,BE,545
AT,BG,284
AT,BY,192
AT,CH,300
AT,CY,241
AT,CZ,244
AT,DE,865
AT,DK,357
AT,EE,227
AT,EL,495
AT,ES,1043
AT,FI,354
AT,FR,604
AT,HR,241
AT,HU,240
AT,IE,312
AT,IL,205
AT,IN,193
AT,IS,195
AT,IT,800
AT,LT,207
AT,LU,204
AT,LV,209
AT,MA,191
AT,MC,191
AT,ME,193
AT,MK,201
AT,MT,196
AT,NL,501
AT,NO,295
AT,PL,289
AT,PT,388
AT,RO,270
AT,RS,230
AT,RU,202
AT,SE,345
AT,SI,324
AT,SK,208
AT,TR,246
AT,UA,198
AT,UK,552
AT,US,191
BA,BE,360
BA,BG,99
BA,BY,7
BA,CH,115
BA,CY,56
BA,CZ,59
BA,DE,680
BA,DK,172
BA,EE,42
BA,EL,310
BA,ES,858
BA,FI,169
BA,FR,419
BA,HR,56
BA,HU,55
BA,IE,127
BA,IL,20
BA,IN,8
BA,IS,10
BA,IT,615
BA,LT,22
BA,LU,19
BA,LV,24
BA,MA,6
BA,MC,6
BA,ME,8
BA,MK,16
BA,MT,11
BA,NL,316
BA,NO,110
BA,PL,104
BA,PT,203
BA,RO,85
BA,RS,45
BA,RU,17
BA,SE,160
BA,SI,139
BA,SK,23
BA,TR,61
BA,UA,13
BA,UK,367
BA,US,6
BE,BG,449
BE,BY,357
BE,CH,465
BE,CY,406
BE,CZ,409
BE,DE,1030
BE,DK,522
BE,EE,392
BE,EL,660
BE,ES,1208
BE,FI,519
BE,FR,769
BE,HR,406
BE,HU,405
BE,IE,477
BE,IL,370
BE,IN,358
BE,IS,360
BE,IT,965
BE,LT,372
BE,LU,369
BE,LV,374
BE,MA,356
BE,MC,356
BE,ME,358
BE,MK,366
BE,MT,361
BE,NL,666
BE,NO,460
BE,PL,454
BE,PT,553
BE,RO,435
BE,RS,395
BE,RU,367
BE,SE,510
BE,SI,489
BE,SK,373
BE,TR,411
BE,UA,363
BE,UK,717
BE,US,356
BG,BY,96
BG,CH,204
BG,CY,145
BG,CZ,148
BG,DE,769
