destination,origin,count
AL,AT,193.0
AL,BA,8.0
AL,BE,358.0
AL,BG,97.0
AL,BY,5.0
AL,CH,113.0
AL,CY,54.0
AL,CZ,57.0
AL,DE,678.0
AL,DK,170.0
AL,EE,40.0
AL,EL,308.0
AL,ES,856.0
AL,FI,167.0
AL,FR,417.0
AL,HR,54.0
AL,HU,53.0
AL,IE,125.0
AL,IL,18.0
AL,IS,8.0
AL,IT,613.0
AL,LT,20.0
AL,LU,17.0
AL,LV,22.0
AL,ME,6.0
AL,MK,14.0
AL,MT,9.0
AL,NL,314.0
AL,NO,108.0
AL,PL,102.0
AL,PT,201.0
AL,RO,83.0
AL,RS,43.0
AL,RU,15.0
AL,SE,158.0
AL,SI,137.0
AL,SK,21.0
AL,TR,59.0
AL,UA,11.0
AL,UK,365.0
AT,BA,195.0
AT,BE,545.0
AT,BG,284.0
AT,BY,192.0
AT,CH,300.0
AT,CY,241.0
AT,CZ,244.0
AT,DE,865.0
AT,DK,357.0
AT,EE,227.0
AT,EL,495.0
AT,ES,1043.0
AT,FI,354.0
AT,FR,604.0
AT,HR,241.0
AT,HU,240.0
AT,IE,312.0
AT,IL,205.0
AT,IS,195.0
AT,IT,800.0
AT,LT,207.0
AT,LU,204.0
AT,LV,209.0
AT,ME,193.0
AT,MK,201.0
AT,MT,196.0
AT,NL,501.0
AT,NO,295.0
AT,PL,289.0
AT,PT,388.0
AT,RO,270.0
AT,RS,230.0
AT,RU,202.0
AT,SE,345.0
AT,SI,324.0
AT,SK,208.0
AT,TR,246.0
AT,UA,198.0
AT,UK,552.0
BA,BE,360.0
BA,BG,99.0
BA,BY,7.0
BA,CH,115.0
BA,CY,56.0
BA,CZ,59.0
BA,DE,680.0
BA,DK,172.0
BA,EE,42.0
BA,EL,310.0
BA,ES,858.0
BA,FI,169.0
BA,FR,419.0
BA,HR,56.0
BA,HU,55.0
BA,IE,127.0
BA,IL,20.0
BA,IS,10.0
BA,IT,615.0
BA,LT,22.0
BA,LU,19.0
BA,LV,24.0
BA,ME,8.0
BA,MK,16.0
BA,MT,11.0
BA,NL,316.0
BA,NO,110.0
BA,PL,104.0
BA,PT,203.0
BA,RO,85.0
BA,RS,45.0
BA,RU,17.0
BA,SE,160.0
BA,SI,139.0
BA,SK,23.0
BA,TR,61.0
BA,UA,13.0
BA,UK,367.0
BE,BG,449.0
BE,BY,357.0
BE,CH,465.0
BE,CY,406.0
BE,CZ,409.0
BE,DE,1030.0
BE,DK,522.0
BE,EE,392.0
BE,EL,660.0
BE,ES,1208.0
BE,FI,519.0
BE,FR,769.0
BE,HR,406.0
BE,HU,405.0
BE,IE,477.0
BE,IL,370.0
BE,IS,360.0
BE,IT,965.0
BE,LT,372.0
BE,LU,369.0
BE,LV,374.0
BE,ME,358.0
BE,MK,366.0
BE,MT,361.0
BE,NL,666.0
BE,NO,460.0
BE,PL,454.0
BE,PT,553.0
BE,RO,435.0
BE,RS,395.0
BE,RU,367.0
BE,SE,510.0
BE,SI,489.0
BE,SK,373.0
BE,TR,411.0
BE,UA,363.0
BE,UK,717.0
BG,BY,96.0
BG,CH,204.0
BG,CY,145.0
BG,CZ,148.0
BG,DE,769.0
BG,DK,261.0
BG,EE,131.0
BG,EL,399.0
BG,ES,947.0
BG,FI,258.0
BG,FR,508.0
BG,HR,145.0
BG,HU,144.0
BG,IE,216.0
BG,IL,109.0
BG,IS,99.0
BG,IT,704.0
BG,LT,111.0
BG,LU,108.0
BG,LV,113.0
BG,ME,97.0
BG,MK,105.0
BG,MT,100.0
BG,NL,405.0
BG,NO,199.0
BG,PL,193.0
BG,PT,292.0
BG,RO,174.0
BG,RS,134.0
BG,RU,106.0
BG,SE,249.0
BG,SI,228.0
BG,SK,112.0
BG,TR,150.0
BG,UA,102.0
BG,UK,456.0
BY,CH,112.0
BY,CY,53.0
BY,CZ,56.0
BY,DE,677.0
BY,DK,169.0
BY,EE,39.0
BY,EL,307.0
BY,ES,855.0
BY,FI,166.0
BY,FR,416.0
BY,HR,53.0
BY,HU,52.0
BY,IE,124.0
BY,IL,17.0
BY,IS,7.0
BY,IT,612.0
BY,LT,19.0
BY,LU,16.0
BY,LV,21.0
BY,ME,5.0
BY,MK,13.0
BY,MT,8.0
BY,NL,313.0
BY,NO,107.0
BY,PL,101.0
BY,PT,200.0
BY,RO,82.0
BY,RS,42.0
BY,RU,14.0
BY,SE,157.0
BY,SI,136.0
BY,SK,20.0
BY,TR,58.0
BY,UA,10.0
BY,UK,364.0
CH,CY,161.0
CH,CZ,164.0
CH,DE,785.0
CH,DK,277.0
CH,EE,147.0
CH,EL,415.0
CH,ES,963.0
CH,FI,274.0
CH,FR,524.0
CH,HR,161.0
CH,HU,160.0
CH,IE,232.0
CH,IL,125.0
CH,IS,115.0
CH,IT,720.0
CH,LT,127.0
CH,LU,124.0
CH,LV,129.0
CH,ME,113.0
CH,MK,121.0
CH,MT,116.0
CH,NL,421.0
